iter	RMSE
0	0.09604861224
1	0.09525712058
2	0.09447726089
3	0.09374610723
4	0.09303660731
5	0.09238745901
6	0.09184100514
7	0.09131330676
8	0.09054890667
9	0.08999028469
10	0.08950985379
11	0.08877432163
12	0.08814670236
13	0.08762493856
14	0.08696228642
15	0.08648768843
16	0.08610613123
17	0.08549786538
18	0.08494629419
19	0.08436155401
20	0.08382996194
21	0.08340068877
22	0.08299338976
23	0.08250217259
24	0.08206697748
25	0.08159787315
26	0.08122413396
27	0.08076288602
28	0.08036227719
29	0.07994544153
30	0.07955813786
31	0.07911721999
32	0.07859017864
33	0.07827525028
34	0.07788728154
35	0.07749295091
36	0.07708588985
37	0.07674247529
38	0.076404737
39	0.07600507519
40	0.07566722971
41	0.07527843378
42	0.07483817905
43	0.07436428395
44	0.07400330671
45	0.07360871726
46	0.07325517891
47	0.07299981435
48	0.07262713759
49	0.0723209764
50	0.07207098703
51	0.07187718154
52	0.07159303361
53	0.07130033631
54	0.07092045128
55	0.07063889116
56	0.07034277609
57	0.07000785293
58	0.06967583035
59	0.06935799853
60	0.06911764259
61	0.06881172567
62	0.0684983212
63	0.0681022296
64	0.06778549048
65	0.06757933575
66	0.06734443253
67	0.0670611703
68	0.06679370636
69	0.06654735801
70	0.06622919305
71	0.06595924948
72	0.06575100821
73	0.06549764093
74	0.06520200834
75	0.06497439343
76	0.06471511233
77	0.06450899147
78	0.06421097064
79	0.06395320081
80	0.0637058514
81	0.06345169
82	0.0631212996
83	0.06295108288
84	0.06267542159
85	0.06243739993
86	0.06220591755
87	0.0619378162
88	0.06172792348
89	0.06149116461
90	0.06128587335
91	0.06097288934
92	0.06076102984
93	0.06055095693
94	0.06030029229
95	0.06002672723
96	0.05980315851
97	0.05961850283
98	0.05941658188
99	0.05921884473
100	0.05891804143
101	0.05862623338
102	0.05844865205
103	0.05821802023
104	0.05800076618
105	0.05780554858
106	0.05752082703
107	0.05723865385
108	0.0570473426
109	0.05685368062
110	0.0566184843
111	0.05643836611
112	0.05627187646
113	0.05604645603
114	0.05582761029
115	0.055686221
116	0.05557368855
117	0.05537972299
118	0.05521412242
119	0.0550065841
120	0.05483629428
121	0.05465353812
122	0.05453620465
123	0.05441098212
124	0.05417143647
125	0.05398845138
126	0.05383020061
127	0.05360274604
128	0.05341398104
129	0.05322779952
130	0.05305500611
131	0.05284997392
132	0.05266668898
133	0.05249995332
134	0.05234234098
135	0.05217742424
136	0.0520173129
137	0.05186266209
138	0.05168340225
139	0.05152110914
140	0.05133213229
141	0.05116117667
142	0.05099300207
143	0.05086919693
144	0.05072960809
145	0.05054527909
146	0.05035947045
147	0.05022479275
148	0.05005738574
149	0.04989921128
150	0.04969527511
151	0.04952550954
152	0.04936748361
153	0.04919553286
154	0.04906090198
155	0.04892270281
156	0.04873988926
157	0.04851280447
158	0.04833472568
159	0.04820719337
160	0.04799826038
161	0.04782942982
162	0.04762752641
163	0.04740019697
164	0.0471619401
165	0.04701764172
166	0.04685774187
167	0.04673983313
168	0.04661478146
169	0.04646611788
170	0.04634340133
171	0.0461363664
172	0.04597365488
173	0.04582895154
174	0.04569200798
175	0.04552952541
176	0.04535517589
177	0.04520388103
178	0.04502411682
179	0.04489132661
180	0.04475260007
181	0.04460349076
