iter	Passed	Remaining
398	207249	312172
399	207758	311637
400	208274	311113
401	208785	310580
402	209274	310017
403	209783	309482
404	210261	308903
405	210731	308310
406	211252	307795
407	211764	307266
408	212318	306798
409	212864	306317
410	213338	305732
411	213846	305197
412	214384	304706
413	214897	304178
414	215489	303762
415	215989	303215
416	216529	302725
417	217070	302236
418	217602	301735
419	218134	301233
420	218646	300704
421	219178	300201
422	219708	299696
423	220213	299157
424	220727	298630
425	221270	298144
426	221804	297643
427	222300	297093
428	222809	296559
429	223328	296039
430	223842	295513
431	224368	295002
432	224863	294451
433	225391	293943
434	225901	293412
435	226421	292893
436	226961	292401
437	227493	291897
438	227996	291357
439	228544	290874
440	229077	290372
441	229583	289835
442	230106	289321
443	230641	288820
444	231128	288261
445	231717	287828
446	232195	287257
447	232686	286702
448	233175	286146
449	233711	285647
450	234210	285103
451	234737	284593
452	235290	284114
453	235795	283577
454	236328	283074
455	236836	282542
456	237347	282012
457	237841	281463
458	238352	280933
459	238855	280395
460	239379	279881
461	239853	279309
462	240374	278792
463	240891	278271
464	241398	277738
465	241916	277217
466	242453	276718
467	242957	276182
468	243469	275655
469	243973	275119
470	244490	274597
471	245037	274109
472	245579	273616
473	246104	273103
474	246591	272548
475	247142	272063
476	247662	271546
477	248123	270963
478	248634	270434
479	249129	269889
480	249641	269363
481	250162	268846
482	250701	268349
483	251224	267834
484	251741	267313
485	252249	266782
486	252810	266307
487	253291	265748
488	253809	265228
489	254335	264716
490	254839	264182
491	255327	263631
492	255829	263094
493	256383	262611
494	256877	262067
495	257372	261523
496	257871	260984
497	258400	260475
498	258915	259952
499	259426	259426
500	259970	258933
501	260462	258387
502	260954	257841
503	261481	257330
504	261982	256794
505	262483	256258
506	262994	255732
507	263527	255227
508	264058	254720
509	264599	254222
510	265125	253711
511	265641	253189
512	266170	252680
513	266718	252189
514	267248	251680
515	267738	251134
516	268253	250612
517	268776	250096
518	269299	249582
519	269815	249060
520	270356	248562
521	270869	248037
522	271389	247519
523	271972	247059
524	272470	246521
525	272977	245991
526	273492	245468
527	274004	244943
528	274502	244405
529	275012	243879
530	275528	243357
531	276031	242824
532	276552	242308
533	277061	241780
534	277571	241253
535	278109	240751
536	278625	240230
537	279171	239734
538	279688	239213
539	280236	238719
540	280746	238193
541	281253	237664
542	281762	237137
543	282258	236599
544	282778	236081
545	283291	235557
546	283823	235049
547	284344	234531
548	284834	233989
549	285363	233479
550	285849	232933
551	286354	232403
552	286861	231875
553	287381	231357
554	287895	230835
555	288358	230271
556	288856	229736
557	289379	229221
558	289885	228693
559	290364	228143
560	290894	227633
561	291354	227069
562	291896	226569
563	292415	226051
564	292934	225533
565	293427	224995
566	293954	224483
567	294453	223950
568	294964	223426
569	295459	222890
570	295982	222375
571	296499	221855
572	296969	221302
573	297497	220791
574	298099	220334
575	298597	219800
576	299117	219283
577	299589	218731
578	300105	218211
579	300613	217685
580	301149	217180
581	301672	216664
582	302200	216153
583	302780	215679
584	303317	215173
585	303783	214618
586	304280	214085
587	304853	213604
588	305373	213087
589	305855	212543
590	306366	212020
591	306837	211469
592	307382	210969
593	307884	210439
594	308385	209909
595	308854	209357
596	309365	208834
597	309892	208322
598	310431	207818
599	310910	207273
600	311390	206730
601	311887	206198
602	312463	205717
603	312967	205190
604	313472	204663
605	314009	204157
606	314515	203632
607	315037	203116
608	315560	202600
609	316086	202088
610	316601	201567
611	317123	201051
612	317664	200548
613	318226	200057
614	318804	199576
615	319322	199058
616	319840	198539
617	320335	198006
618	320875	197501
619	321398	196986
620	321929	196475
621	322460	195964
622	322987	195451
623	323504	194932
624	324001	194400
625	324522	193884
626	325040	193365
627	325592	192867
628	326103	192344
629	326607	191817
630	327113	191291
631	327628	190771
632	328148	190253
633	328668	189736
634	329187	189217
635	329713	188703
636	330259	188201
637	330753	187668
638	331255	187141
639	331779	186625
640	332305	186111
641	332819	185591
642	333327	185067
643	333841	184546
644	334350	184022
645	334861	183499
