iter	Passed	Remaining
415	2951	4142
416	2957	4134
417	2964	4128
418	2972	4122
419	2981	4117
420	2990	4112
421	2998	4107
422	3006	4100
423	3012	4091
424	3018	4084
425	3024	4075
426	3030	4066
427	3035	4057
428	3041	4048
429	3049	4042
430	3058	4037
431	3069	4035
432	3076	4029
433	3083	4021
434	3090	4014
435	3098	4007
436	3103	3998
437	3111	3992
438	3119	3986
439	3127	3980
440	3133	3972
441	3143	3968
442	3148	3958
443	3154	3949
444	3161	3942
445	3166	3932
446	3174	3927
447	3187	3926
448	3193	3918
449	3201	3913
450	3209	3907
451	3215	3898
452	3220	3888
453	3227	3881
454	3233	3873
455	3239	3864
456	3251	3863
457	3259	3857
458	3265	3849
459	3272	3841
460	3279	3834
461	3284	3824
462	3290	3816
463	3296	3808
464	3302	3799
465	3311	3794
466	3318	3787
467	3326	3781
468	3335	3776
469	3342	3768
470	3347	3760
471	3354	3752
472	3360	3743
473	3365	3734
474	3371	3725
475	3381	3723
476	3390	3717
477	3397	3709
478	3402	3701
479	3410	3694
480	3415	3684
481	3421	3676
482	3426	3667
483	3431	3658
484	3438	3650
485	3448	3647
486	3457	3641
487	3470	3640
488	3477	3633
489	3485	3627
490	3493	3621
491	3501	3614
492	3506	3606
493	3515	3601
494	3523	3594
495	3528	3585
496	3534	3576
497	3539	3567
498	3546	3560
499	3551	3551
500	3557	3543
501	3563	3534
502	3569	3526
503	3577	3520
504	3585	3514
505	3595	3510
506	3601	3502
507	3606	3493
508	3612	3484
509	3617	3475
510	3622	3466
511	3629	3459
512	3639	3454
513	3647	3448
514	3654	3441
515	3661	3434
516	3666	3425
517	3671	3416
518	3676	3407
519	3681	3398
520	3686	3389
521	3692	3381
522	3698	3372
523	3706	3366
524	3717	3363
525	3724	3356
526	3729	3347
527	3734	3338
528	3739	3329
529	3745	3321
530	3750	3312
531	3757	3305
532	3762	3296
533	3769	3289
534	3777	3283
535	3784	3276
536	3792	3269
537	3797	3260
538	3802	3252
539	3807	3243
540	3813	3235
541	3819	3227
542	3824	3218
543	3829	3210
544	3838	3204
545	3846	3198
546	3853	3191
547	3859	3183
548	3864	3175
549	3870	3166
550	3876	3159
551	3881	3150
552	3886	3141
553	3892	3133
554	3897	3125
555	3910	3122
556	3916	3114
557	3922	3106
558	3929	3099
559	3934	3091
560	3940	3083
561	3944	3074
562	3950	3066
563	3957	3059
564	3962	3050
565	3972	3045
566	3979	3038
567	3986	3031
568	3991	3023
569	3997	3015
570	4003	3007
571	4008	2999
572	4014	2991
573	4019	2983
574	4025	2975
575	4035	2970
576	4043	2964
577	4049	2956
578	4057	2950
579	4063	2942
580	4069	2934
581	4075	2926
582	4080	2918
583	4089	2913
584	4099	2908
585	4109	2903
586	4118	2897
587	4129	2893
588	4137	2886
589	4145	2880
590	4154	2875
591	4163	2869
592	4173	2864
593	4187	2862
594	4194	2855
595	4202	2848
596	4210	2842
597	4218	2835
598	4226	2829
599	4239	2826
600	4250	2821
601	4259	2815
602	4266	2809
603	4275	2803
604	4283	2796
605	4291	2789
606	4299	2783
607	4310	2779
608	4320	2774
